ab	abxaz
aa	afarca
af	afrikaans
ak	akanca
sq	alban
de	alman
am	amhar
an	aragonca
as	assam
av	avarikcə
ae	avestanca
ay	aymarca
az	azəri
bm	bambara
eu	bask
ba	başqırd
be	belarus
bn	benqal
my	birma
bi	bislama
nb	bokmal norveç
bg	bolqar
bs	bosniak
br	Bretonca
nr	cənub ndebele
ch	çamoro
ce	çeçen
cs	çex
zh	çin
cv	çuvaş
da	danimarka
dv	diveh
dz	dzonqa
hy	erməni
eo	esperanto
et	eston
ee	eve
ar	ərəb
fo	farer
fa	fars
fj	fici
fi	fin
fr	fransız
ff	fula
ka	gürcü
ht	haiti
ha	hausa
hz	Herer
hi	hindi
ho	hiri motu
nl	holland
hr	xorvat
xh	xosa
io	ido
ig	iqbo
id	indonez
en	ingilis
en-US	ingilis (A.B.Ş.)
en-GB	ingilis (B.K.)
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
ga	irland
is	island
es	ispan
sv	isveç
it	italyan
he	ivrit
za	juənq
kl	kalaallisut
kn	kannada
kr	kanur
ks	kaşmir
ca	katalan
qu	keçua
km	kxmer
ki	kikuyu
cu	kilsə slav
rw	kinyarvanda
kv	komi
kg	konqo
ko	koreya
kw	korn
co	korsika
cr	kri dili
kj	kuanyama
ku	kürd
gl	qalisian
lg	qanda
kk	qazax
fy	qərbi friz
ky	qırğız
gn	quarani
gu	qucarat
lo	laos
la	latın
lv	latış
li	limburqiş
ln	linqala
lt	litva
lu	luba-katanqa
lb	lüksemburq
hu	macar
mk	makedon
mg	malaqas
ms	malay
ml	malayalam
mt	malta
gv	manks
mi	maori
mr	marati
mh	marşal
mn	monqol
na	nauru
nv	navayo
ne	nepal
ng	nqonka
no	norveç
nn	nünorsk norveç
ny	nyanca
oj	ocibva
oc	oksitanca
or	oriya
om	oromo
os	osetik
uz	özbək
pi	pali
pa	pəncab
pl	polyak
pt	portuqal
ps	puştu
rm	retoroman
ro	rumın
rn	rundi
ru	rus
sm	samoa
sg	sanqo
sa	sanskrit
sc	sardin
sr	serb
sh	serb-xorvatca
st	Sesoto
ii	siçuan yi
sd	sindhi
si	sinhal
gd	skot gaelik
sk	slovak
sl	sloven
so	somali
ts	sonqa
su	su
sw	suahili
tn	svana
ss	svati
nd	şimali ndebele
se	şimali sami
sn	şona
tg	tacik
ty	taxiti
tl	taqaloq
ta	tamil
tt	tatar
th	tay
te	teluqu
bo	tibet
ti	tiqrin
to	tonqa
tr	türk
tk	türkmən
tw	Tvi
cy	uels
uk	ukrayna
ur	urdu
ug	uyğur
wa	valun
ve	venda
vo	volapük
wo	volof
vi	vyetnam
yi	Yahudi
ja	yapon
jv	yava
yo	yoruba
el	yunan
zu	zulu
