ab	abjasio
aa	afar
af	afrikáans
ay	aimara
ak	akan
sq	albanés
de	alemán
am	amárico
ar	árabe
an	aragonés
hy	armenio
as	asamés
av	avar
ae	avéstico
az	azerí
bm	bambara
ba	baskir
bn	bengalí
be	bielorruso
my	birmano
bi	bislama
bs	bosnio
br	bretón
bg	búlgaro
ks	cachemiro
kn	canarés
ca	catalán
ch	chamorro
ce	checheno
cs	checo
zh	chino
cv	chuvasio
si	cingalés
ko	coreano
kw	córnico
co	corso
cr	cree
hr	croata
da	danés
dv	divehi
dz	dzongkha
cu	eslavo eclesiástico
sk	eslovaco
sl	esloveno
es	español
eo	esperanto
et	estonio
eu	euskera
ee	ewé
fo	feroés
fi	finés
fj	fiyiano
fr	francés
fy	frisón occidental
ff	fula
gd	gaélico escocés
cy	galés
gl	gallego
lg	ganda
ka	georgiano
el	griego
kl	groenlandés
gn	guaraní
gu	gujarati
ht	haitiano
ha	hausa
he	hebreo
hz	herero
hi	hindi
ho	hiri motu
hu	húngaro
io	ido
ig	igbo
id	indonesio
en	inglés
en-US	inglés (EE. UU.)
en-GB	inglés (RU)
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
ga	irlandés
is	islandés
it	italiano
ja	japonés
jv	javanés
km	jemer
kr	kanuri
kk	kazajo
ki	kikuyu
rw	kinyarwanda
ky	kirguís
rn	kiroundi
kv	komi
kg	kongo
kj	kuanyama
ku	kurdo
lo	laosiano
la	latín
lv	letón
li	limburgués
ln	lingala
lt	lituano
lu	luba-katanga
lb	luxemburgués
mk	macedonio
ml	malayalam
ms	malayo
mg	malgache
mt	maltés
gv	manés
mi	maorí
mr	maratí
mh	marshalés
mn	mongol
na	nauruano
nv	navajo
nr	ndebele meridional
nd	ndebele septentrional
ng	ndonga
nl	neerlandés
ne	nepalí
no	noruego
nb	noruego bokmal
nn	noruego nynorsk
ny	nyanja
oc	occitano
oj	ojibwa
or	oriya
om	oromo
os	osético
pi	pali
pa	panyabí
ps	pastún
fa	persa
pl	polaco
pt	portugués
qu	quechua
rm	retorrománico
ro	rumano
ru	ruso
se	sami septentrional
sm	samoano
sg	sango
sa	sánscrito
sc	sardo
sr	serbio
sh	serbocroata
st	sesotho meridional
tn	setchwana
sn	shona
sd	sindhi
ss	siswati
so	somalí
sw	suajili
sv	sueco
su	sundanés
tl	tagalo
ty	tahitiano
th	tailandés
ta	tamil
tt	tártaro
tg	tayiko
te	telugu
bo	tibetano
ti	tigriña
to	tongano
ts	tsonga
tr	turco
tk	turcomano
tw	twi
uk	ucraniano
ug	uigur
ur	urdu
uz	uzbeko
wa	valón
ve	venda
vi	vietnamita
vo	volapük
wo	wolof
xh	xhosa
ii	yi de Sichuán
yi	yídish
yo	yoruba
za	zhuang
zu	zulú
