ab	abcazian
aa	afar
af	afrikaans
ak	ak
sq	albanês
am	amaric
an	aragonês
ar	arap
hy	armen
as	assamês
av	avar
ae	avestan
ay	aymarà
az	az
ba	ba
eu	basc
bn	bengalês
bi	bi
be	bielorùs
bm	bm
bs	bosniac
br	breton
bg	bulgar
ca	catalan
cs	cec
ce	cecen
ch	chamorro
zh	cinês
ko	corean
kw	cornualiês
co	cors
hr	cravuat
cr	cree
ku	curd
cv	cv
da	danês
dv	dv
dz	dz
he	ebraic
ee	ee
eo	esperanto
et	eston
fo	faroês
fi	finlandês
fj	fizian
fr	francês
fy	frisian
ff	fulah
ga	gaelic irlandês
gd	gaelic scozês
cy	galês
gl	galizian
ja	gjaponês
ka	gjeorgjian
el	grêc
gn	guaranì
gu	gujarati
ha	ha
ht	haitian
hi	hindi
ho	ho
hz	hz
ia	ia
io	ido
ie	ie
ig	igbo
ii	ii
id	indonesian
en	inglês
en-GB	inglês (GB)
en-US	inglês (US)
iu	inuktitut
ik	inupiaq
is	islandês
jv	jv
kl	kalaallisut
kn	kannada
kk	kazac
kg	kg
km	khmer
ki	ki
kj	kj
kr	kr
ks	ks
kv	kv
ky	ky
lo	lao
la	latin
lv	leton
lg	lg
li	limburghês
ln	lingala
lt	lituan
lu	lu
lb	lussemburghês
mk	macedon
mg	malagasy
ml	malayalam
ms	malês
mt	maltês
gv	manx
mi	maori
mr	marathi
mh	mh
mn	mongul
my	my
na	na
nv	navajo
nd	ndebele setentrionâl
ne	nepalês
ng	ng
no	norvegjês
nb	norvegjês bokmål
nn	norvegjês nynorsk
nr	nr
ny	ny
oc	ocitan
oj	oj
nl	olandês
om	om
hu	ongjarês
or	oriya
os	osetic
ps	pashto
fa	persian
pi	pi
pl	polac
pt	portughês
pa	punjabi
qu	quechua
rn	rn
ro	romen
rm	rumanç
ru	rus
rw	rw
se	sami setentrionâl
sm	samoan
sg	sango
sa	sanscrit
sc	sardegnûl
cu	sclâf de glesie
sr	serp
sh	sh
si	sinalês
sd	sindhi
sk	slovac
sl	sloven
sn	sn
so	somal
st	sotho meridionâl
es	spagnûl
su	sundanês
sv	svedês
sw	swahili
ss	swati
tl	tagalog
tg	tagic
ty	tahitian
it	talian
ta	tamil
tt	tartar
te	telegu
th	thai
ti	ti
bo	tibetan
tn	tn
to	to
de	todesc
ts	ts
tr	turc
tk	turcmen
tw	tw
uk	ucrain
ug	uigur
ur	urdu
uz	uzbec
wa	valon
ve	venda
vi	vietnamite
vo	vo
wo	wolof
xh	xhosa
yi	yiddish
yo	yoruba
za	za
zu	zulu
