ab	Abchazysk
aa	Afar
af	Afrikaansk
ak	Akan
sq	Albaneesk
am	Amhaarsk
ar	Arabysk
an	Aragoneesk
hy	Armeensk
as	Assameesk
av	Avarysk
ae	Avestysk
ay	Aymara
az	Azeri
bm	Bambara
ba	Basjkiersk
eu	Baskysk
bn	Bengaalsk
my	Birmees
bi	Bislama
bs	Bosnysk
br	Bretonsk
bg	Bulgaarsk
ch	Chamorro
kw	Cornish
cr	Cree
da	Deensk
dv	Divehi
de	Dútsk
dz	Dzongkha
eo	Esperanto
et	Estlânsk
ee	Ewe
fo	Faeröersk
fj	Fijysk
fi	Finsk
fr	Frânsk
ff	Fulah
gl	Galisysk
lg	Ganda
ka	Georgysk
kl	Grienlâns
el	Gryks
gn	Guaraní
gu	Gujarati
ht	Haïtiaansk
ha	Hausa
he	Hebreeuwsk
hz	Herero
hi	Hindi
ho	Hiri Motu
hu	Hongaarsk
io	Ido
ga	Iersk
ig	Igbo
en	Ingelsk
en-GB	Ingelsk (VK)
en-US	Ingelsk (VS)
ia	Interlingua
ie	Interlingue
iu	Inuktitut
ik	Inupiaq
it	Italiaansk
ja	Japans
jv	Javaansk
yi	Jiddysk
kn	Kannada
kr	Kanuri
ks	Kasjmiri
ca	Katalaansk
kk	Kazachs
cu	Kerkslavysk
km	Khmer
ki	Kikuyu
rw	Kinyarwanda
ky	Kirgizysk
rn	Kirundi
ku	Koerdysk
kv	Komi
kg	Kongo
ko	Koreaansk
co	Korsikaansk
hr	Kroatysk
kj	Kuanyama
lo	Laotiaansk
la	Latyn
lv	Letlâns
li	Limburgs
ln	Lingala
lt	Litouws
lu	Luba-Katanga
lb	Luxemburgs
mk	Macedonysk
mg	Malagasysk
ml	Malayalam
ms	Maleis
mt	Maltees
gv	Manks
mi	Maori
mr	Marathi
mh	Marshallees
mn	Mongools
na	Nauruaansk
nv	Navajo
ng	Ndonga
nl	Nederlânsk
ne	Nepalees
nd	Noard-Ndbele
se	Noard-Samysk
no	Noors
nb	Noors - Bokmål
nn	Noors - Nynorsk
ny	Nyanja
oc	Occitaansk
or	Odia
ug	Oeigoers
uk	Oekraïens
uz	Oezbeeks
oj	Ojibwa
om	Oromo
os	Ossetysk
pi	Pali
ps	Pasjtoe
fa	Perzysk
pl	Poalsk
pt	Portugeesk
pa	Punjabi
qu	Quechua
rm	Reto-Romaansk
ro	Roemeensk
ru	Russysk
sm	Samoaansk
sg	Sango
sa	Sanskriet
sc	Sardinysk
gd	Schotsk Gaelic
sh	Servokroatysk
sr	Servysk
sn	Shona
ii	Sichuan Yi
sd	Sindhi
zh	Sineesk
si	Singalees
sl	Sloveensk
sk	Slowaaks
su	Soendaneesk
so	Somalysk
es	Spaansk
nr	Sûd-Ndbele
st	Sûd-Sotho
sw	Swahili
ss	Swazi
tg	Tadzjieks
tl	Tagalog
ty	Tahitysk
ta	Tamil
tt	Tataars
te	Telugu
th	Thais
bo	Tibetaansk
ti	Tigrinya
to	Tongaansk
cs	Tsjechysk
ce	Tsjetsjeensk
cv	Tsjoevasjysk
ts	Tsonga
tn	Tswana
tk	Turkmeens
tr	Turks
tw	Twi
ur	Urdu
ve	Venda
vi	Vietnamees
vo	Volapük
wa	Waals
cy	Welsk
fy	West-Frysk
wo	Wolof
be	Wyt-Russysk
xh	Xhosa
id	Yndonezysk
yo	Yoruba
is	Yslâns
za	Zhuang
zu	Zulu
sv	Zweeds
