ab	Abkażjan
aa	Afar
af	Afrikans
ay	Ajmara
ak	Akan
sq	Albaniż
am	Amħariku
an	Aragonese
hy	Armenjan
as	Assamese
av	Avarik
ae	Avestan
az	az
bm	Bambara
eu	Bask
ba	Baxkir
be	Belarussu
bn	Bengali
bi	Bislama
nb	Bokmahal Norveġiż
bs	Bosnijan
br	Brenton
bg	Bulgaru
my	Burmiż
ch	Ċamorro
ce	Ċeċen
cs	Ċek
ny	Ċiċewa; Njanġa
zh	Ċiniż
cv	Ċuvax
da	Daniż
dv	Diveħi
dz	Dżongka
he	Ebrajk
eo	Esperanto
et	Estonjan
ee	Ewe
fo	Fawriż
fj	Fiġi
fi	Finlandiż
fr	Franċiż
fy	Friżjan
ff	Fulaħ
gl	Gallegjan
gd	Galliku Skoċċiż
lg	Ganda
ja	Ġappuniż
jv	Ġavaniż
de	Ġermaniż
ar	Għarbi
ka	Ġorġjan
el	Grieg
gu	Guġarati
gn	Gwarani
ht	Haitian
ha	Ħawsa
hz	Ħerero
hi	Ħindi
ho	Ħiri Motu
xh	Ħoża
io	Ido
ig	Igbo
id	Indoneżjan
en	Ingliż
en-GB	Ingliż (UK)
en-US	Ingliż (US)
ia	Interlingua
ie	Interlingue
iu	Inukitut
ik	Inupjak
ga	Irlandiż
is	Iżlandiż
yi	Jiddix
yo	Joruba
kl	Kalallisut
kn	Kannada
kr	Kanuri
ca	Katalan
ks	Kaxmiri
kk	Każak
qu	Keċwa
ki	Kikuju
rw	Kinjarwanda
ky	Kirgiż
km	Kmer
kv	Komi
kg	Kongo
ko	Korejan
kw	Korniku
co	Korsiku
cr	Krij
hr	Kroat
kj	Kuanyama
ku	Kurdiż
lo	Lao
la	Latin
lv	Latvjan
lb	Letżburgiż
li	Limburgish
ln	Lingaljan
lt	Litwanjan
lu	Luba-Katanga
mk	Maċedonjan
mg	Malagażi
ml	Malajalam
ms	Malajan
mt	Malti
gv	Manks
mi	Maori
mr	Marati
mh	Marxall
mn	Mongoljan
nv	Navaħo
na	Nawuru
nr	Ndebele, t’Isfel
nd	Ndebele, ta’ Fuq
ng	Ndonga
ne	Nepaliż
nn	Ninorsk Norveġiż
no	Norveġiż
oc	Oċċitan
oj	Oġibwa
nl	Olandiż
or	Orija
om	Oromo (Afan)
os	Ossettiku
pi	Pali
ps	Paxtun
fa	Persjan
pl	Pollakk
pt	Portugiż
pa	Punġabi
rm	Reto-Romanz
ro	Rumen
rn	Rundi
ru	Russu
se	Sami ta’ Fuq
sm	Samojan
sg	Sango
sa	Sanskrit
sc	Sardinjan
sr	Serb
sh	Serbo-Kroat
ii	Sichuan Yi
sd	Sindi
si	Sinħaliż
cu	Slaviku tal-Knisja
sk	Slovakk
sl	Sloven
so	Somali
st	Soto, t’Isfel
es	Spanjol
su	Sundaniż
sv	Svediż
sw	Swaħili
ss	Swati
tl	Tagalog
tg	Taġik
ty	Taħitjan
th	Tajlandiż
it	Taljan
ta	Tamil
tt	Tatar
te	Telugu
bo	Tibetjan
ti	Tigrinja
to	Tongan
tr	Tork
ts	Tsonga
tk	Turkmeni
tw	Twi
uk	Ukranjan
hu	Ungeriż
ur	Urdu
uz	Użbek
ve	Venda
vi	Vjetnamiż
vo	Volapuk
wa	Walloon
cy	Welx
ug	Wigur
wo	Wolof
sn	Xona
zu	Żulu
tn	Zwana
za	Żwang
