aa	aa
ak	ak
am	am
an	an
as	as
ay	ay
az	az
be	be
bi	bi
bm	bm
bn	bn
bo	bo
br	br
ch	ch
co	co
cr	cr
cu	cu
cy	cy
dv	dv
dz	dz
ee	ee
ff	ff
fy	fy
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
ha	ha
hi	hi
ho	ho
ht	ht
hz	hz
ia	ia
id	id
ie	ie
ig	ig
ii	ii
ik	ik
io	io
is	is
iu	iu
jv	jv
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	km
kn	kn
ko	ko
kr	kr
ks	ks
kv	kv
kw	kw
ky	ky
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
ml	ml
mn	mn
mr	mr
ms	ms
mt	mt
my	my
na	na
nb	nb
nd	nd
ne	ne
ng	ng
nl	nl
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
pa	pa
pi	pi
pl	pl
ps	ps
qu	qu
rm	rm
rn	rn
ro	ro
rw	rw
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	so
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	sv
sw	sw
ta	ta
te	te
tg	tg
th	th
ti	ti
tk	tk
tl	tl
tn	tn
to	to
tr	tr
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uk	uk
ur	ur
uz	uz
ve	ve
vi	vi
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	yo
za	za
zu	zu
ab	абхазаг
av	авайраг
ae	авестӕ
en	англисаг
en-GB	англисаг (GB)
en-US	англисаг (US)
ar	араббаг
af	африкаанс
eu	баскаг
ba	башкираг
el	бердзейнаг
bg	болгайраг
bs	босниаг
hu	венгериаг
ka	гуырдзиаг
da	даниаг
eo	есперанто
et	естойнаг
ga	ирландиаг
os	ирон
es	испайнаг
it	италиаг
ca	каталайнаг
zh	китайаг
ku	курдаг
la	латинаг
mk	мӕчъидон
de	немыцаг
fa	персайнаг
pt	португалиаг
hy	сомихаг
he	уираг
ru	уырыссаг
fo	фарераг
fj	фиджи
fi	финнаг
fr	францаг
hr	хорватаг
ce	цӕцӕйнаг
cs	чехаг
cv	чувашаг
ja	япойнаг
