ab	abchaziska
aa	afar
ps	afghanska
af	afrikaans
ak	akan
sq	albanska
am	amhariska
ar	arabiska
an	aragonesiska
hy	armeniska
as	assamesiska
av	avariska
ae	avestiska
ay	aymara
az	azeriska
bm	bambara
ba	basjkiriska
eu	baskiska
bn	bengali
dz	bhutanesiska
bi	bislama
bs	bosniska
br	bretonska
bg	bulgariska
my	burmesiska
ch	chamorro
cr	cree
da	danska
dv	divehi
en	engelska
en-GB	engelska (Storbritannien)
en-US	engelska (USA)
eo	esperanto
et	estniska
ee	ewe
fj	fijianska
fi	finska
fr	franska
ff	fulani
fo	färöiska
gl	galiciska
ka	georgiska
el	grekiska
kl	grönländska
gn	guaraní
gu	gujarati
ht	haitiska
ha	hausa
he	hebreiska
hz	herero
hi	hindi
ho	hirimotu
io	ido
ig	igbo
id	indonesiska
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	iriska
is	isländska
it	italienska
ja	japanska
jv	javanesiska
yi	jiddisch
km	kambodjanska
kn	kannada
kr	kanuri
ks	kashmiriska
ca	katalanska
kk	kazakiska
kg	kikongo
ki	kikuyu
zh	kinesiska
rw	kinjarwanda
ky	kirgiziska
kv	kome
ko	koreanska
kw	korniska
co	korsikanska
hr	kroatiska
kj	kuanyama
ku	kurdiska
cu	kyrkslaviska
lo	laotiska
la	latin
lv	lettiska
li	limburgiska
ln	lingala
lt	litauiska
lu	luba-katanga
lg	luganda
lb	luxemburgiska
mk	makedonska
mg	malagassiska
ms	malajiska
ml	malayalam
mt	maltesiska
gv	manx
mi	maori
mr	marathi
mh	marshalliska
mn	mongoliska
na	nauru
nv	navaho
ng	ndonga
nl	nederländska
ne	nepalesiska
nd	nordndebele
se	nordsamiska
no	norska
nb	norskt bokmål
ny	nyanja
nn	nynorska
oc	occitanska
oj	odjibwa
or	oriya
om	oromo
os	ossetiska
pi	pali
fa	persiska
pl	polska
pt	portugisiska
pa	punjabi
qu	quechua
ro	rumänska
rn	rundi
ru	ryska
rm	rätoromanska
sm	samoanska
sg	sango
sa	sanskrit
sc	sardiska
sr	serbiska
sh	serbokroatiska
sn	shona
sd	sindhi
si	singalesiska
gd	skotsk gäliska
sk	slovakiska
sl	slovenska
so	somaliska
es	spanska
su	sundanesiska
sv	svenska
sw	swahili
ss	swati
nr	sydndebele
st	sydsotho
ii	szezuan i
tg	tadzjikiska
tl	tagalog
ty	tahitiska
ta	tamil
tt	tatariska
te	telugiska
th	thailändska
bo	tibetanska
ti	tigrinja
cs	tjeckiska
ce	tjetjenska
cv	tjuvasjiska
to	tonganska
ts	tsonga
tn	tswana
tr	turkiska
tk	turkmeniska
tw	twi
de	tyska
ug	uiguriska
uk	ukrainska
hu	ungerska
ur	urdu
uz	uzbekiska
wa	vallonska
ve	venda
vi	vietnamesiska
be	vitryska
vo	volapük
fy	västfrisiska
cy	walesiska
wo	wolof
xh	xhosa
yo	yoruba
za	zhuang
zu	zulu
