fr	lea fakafalanisē
fo	lea fakafaloe
fy	lea fakafilisia-hihifo
fi	lea fakafinilani
fj	lea fakafisi
ff	lea fakafulā
sm	lea fakahaʻamoa
ht	lea fakahaiti
ha	lea fakahausa
hz	lea fakahelelo
he	lea fakahepelū
ho	lea fakahili-motu
hi	lea fakahinitī
nl	lea fakahōlani
hu	lea fakahungakalia
ga	lea fakaʻaelani
aa	lea fakaʻafāla
af	lea fakaʻafilikana
ay	lea fakaʻaimala
is	lea fakaʻaisilani
ak	lea fakaʻakani
an	lea fakaʻalakoni
sq	lea fakaʻalapēnia
ar	lea fakaʻalepea
am	lea fakaʻameliki
hy	lea fakaʻāmenia
ab	lea fakaʻapakasia
as	lea fakaʻasamia
az	lea fakaʻasapaisani
av	lea fakaʻavaliki
ae	lea fakaʻavesitani
eo	lea fakaʻesipulanito
et	lea fakaʻesitōnia
ee	lea fakaʻeue
ig	lea fakaʻikipō
or	lea fakaʻinitia-ʻolāea
ml	lea fakaʻinitia-malāialami
te	lea fakaʻinitia-teluku
id	lea fakaʻinitōnesia
iu	lea fakaʻinuketituti
ik	lea fakaʻinupiaki
yo	lea fakaʻiōlupa
it	lea fakaʻītali
io	lea fakaʻito
oc	lea fakaʻokitane
om	lea fakaʻolomo
os	lea fakaʻosetiki
oj	lea fakaʻosipiuā
wa	lea fakaʻualonia
ug	lea fakaʻuikūli
uk	lea fakaʻūkalaʻine
wo	lea fakaʻuolofo
uz	lea fakaʻusipeki
ur	lea fakaʻūtū
yi	lea fakaītisi
gd	lea fakakaeliki
kl	lea fakakalaʻalisuti
el	lea fakakalisi
gl	lea fakakalisia
km	lea fakakamipōtia
ch	lea fakakamolo
kn	lea fakakanata
lg	lea fakakanita
kr	lea fakakanuli
kk	lea fakakasaki
ks	lea fakakāsimila
ca	lea fakakatalani
cr	lea fakakelī
ki	lea fakakikuiu
rw	lea fakakiniāuanita
ky	lea fakakīsisi
ko	lea fakakōlea
kv	lea fakakomi
kg	lea fakakongikō
kw	lea fakakoniuali
co	lea fakakōsika
gn	lea fakakualani
kj	lea fakakuaniama
qu	lea fakakuetisa
ku	lea fakakulitī
hr	lea fakakuloisia
sh	lea fakakuloisia-sēpia
gu	lea fakakutalati
rm	lea fakalaito-lomēnia
lb	lea fakalakisimipeki
la	lea fakalatina
lv	lea fakalativia
lo	lea fakalau
li	lea fakalimipūliki
lt	lea fakalituania
ro	lea fakalōmenia
rn	lea fakaluaniti
lu	lea fakalupa-katanga
ru	lea fakalūsia
mg	lea fakamalakasi
mr	lea fakamalati
ms	lea fakamalei
mt	lea fakamalita
gv	lea fakamangikī
mk	lea fakamasitōnia
mh	lea fakamāsolo
mi	lea fakamauli
mn	lea fakamongokōlia
na	lea fakanaulu
nv	lea fakanavaho
ne	lea fakanepali
nd	lea fakanetepele-tokelau
nr	lea fakanetepele-tonga
ng	lea fakanetongikā
ny	lea fakanianisa
nn	lea fakanoauē-ninosiki
no	lea fakanouaē
nb	lea fakanouaē-pokimali
en	lea fakapālangi
en-US	lea fakapālangi (ʻAmelika)
pi	lea fakapāli
bm	lea fakapamipala
eu	lea fakapāsiki
ba	lea fakapasikili
ps	lea fakapasitō
be	lea fakapelalusi
br	lea fakapeletoni
my	lea fakapema
bn	lea fakapengikali
fa	lea fakapēsia
en-GB	lea fakapilitānia
bi	lea fakapisilama
pl	lea fakapolani
bs	lea fakaposinia
pt	lea fakapotukali
bg	lea fakapulukalia
pa	lea fakapūnusapi
dz	lea fakaputeni
sc	lea fakasaletīnia
se	lea fakasami-tokelau
sg	lea fakasangikō
sa	lea fakasanisukuliti
jv	lea fakasava
cs	lea fakaseki
ka	lea fakaseōsia
sr	lea fakasēpia
ce	lea fakasese
zh	lea fakasiaina
de	lea fakasiamane
ja	lea fakasiapani
cu	lea fakasilavia-fakasiasi
si	lea fakasingihala
sd	lea fakasīniti
sn	lea fakasiona
es	lea fakasipēnisi
ii	lea fakasisiuani-ī
sk	lea fakasolāvaki
sl	lea fakasolovenia
so	lea fakasomali
st	lea fakasoto-tonga
sw	lea fakasuahili
za	lea fakasuangi
ss	lea fakasuati
sv	lea fakasuēteni
zu	lea fakasulu
su	lea fakasunitā
cv	lea fakasuvasa
ty	lea fakatahiti
th	lea fakatailani
tl	lea fakatakāloka
ta	lea fakatamili
tg	lea fakatāsiki
tt	lea fakatatale
tk	lea fakatēkimeni
da	lea fakatenimaʻake
ti	lea fakatikilinia
bo	lea fakatipeti
ts	lea fakatisonga
dv	lea fakativehi
tr	lea fakatoake
to	lea fakatonga
xh	lea fakatōsa
tw	lea fakatusuī
cy	lea fakauēlesi
ia	lea fakavahaʻalea
ie	lea fakavahaʻalingikē
ve	lea fakavenitā
vi	lea fakavietinami
vo	lea fakavolapiki
ln	lea lingikala
tn	lea suana
